Financial_Year,State,District,Total_Facilities,Public_Facilities,Total_Deliveries,Total_C_Section_Deliveries,Public_Facility_Share_Pct,District_C_Section_Rate_Pct,C_Section_Adequacy_Score,Public_Share_Scaled,C_Sec_Adequacy_Scaled,RHADI_District_Score,Quality_Sub_Index
2022-23,Rajasthan,Sawai Madhopur,52,50,31588,3821,96.15,12.1,14.6,0.9516999121816586,0.9765886287625418,96.41,96.41
2022-23,Rajasthan,Sikar,167,161,42767,11610,96.41,27.15,0.3500000000000014,0.954961736294066,0.02341137123745829,48.92,48.92
2022-23,Rajasthan,Sirohi,75,70,25340,2600,93.33,10.26,12.76,0.9163216660393926,0.8535117056856187,88.49,88.49
2022-23,Rajasthan,Tonk,139,134,24180,2583,96.4,10.68,13.18,0.9548362815205119,0.8816053511705686,91.82,91.82
2022-23,Rajasthan,Udaipur,427,421,63588,9243,98.59,14.54,12.96,0.9823108769288672,0.8668896321070235,92.46,92.46
2023-24,Rajasthan,Ajmer,309,268,59257,13911,86.73,23.48,4.02,0.8335215154936644,0.2688963210702341,55.12,55.12
2023-24,Rajasthan,Alwar,288,231,62882,9269,80.21,14.74,12.76,0.7517250031363691,0.8535117056856187,80.26,80.26
2023-24,Rajasthan,Banswara,138,130,46166,3271,94.2,7.09,9.59,0.9272362313386023,0.6414715719063545,78.44,78.44
2023-24,Rajasthan,Baran,59,51,23832,3035,86.44,12.73,14.77,0.8298833270605946,0.9879598662207358,90.89,90.89
2023-24,Rajasthan,Barmer,382,351,60231,4622,91.88,7.67,10.17,0.8981307238740434,0.6802675585284281,78.92,78.92
2023-24,Rajasthan,Bharatpur,167,140,53145,7493,83.83,14.1,13.4,0.7971396311629657,0.8963210702341138,84.67,84.67
2023-24,Rajasthan,Bhilwara,176,158,45444,7033,89.77,15.48,12.02,0.8716597666541209,0.8040133779264215,83.78,83.78
2023-24,Rajasthan,Bikaner,279,245,52207,9234,87.81,17.69,9.81,0.847070631037511,0.6561872909698997,75.16,75.16
2023-24,Rajasthan,Bundi,104,97,17188,2184,93.27,12.71,14.79,0.9155689373980678,0.9892976588628762,95.24,95.24
2023-24,Rajasthan,Chittorgarh,132,116,27248,4078,87.88,14.97,12.53,0.8479488144523899,0.8381270903010033,84.3,84.3
2023-24,Rajasthan,Churu,286,260,31216,3825,90.91,12.25,14.75,0.8859616108392924,0.9866220735785953,93.63,93.63
2023-24,Rajasthan,Dausa,66,46,31476,1481,69.7,4.71,7.21,0.6198720361309747,0.48227424749163883,55.11,55.11
2023-24,Rajasthan,Dholpur,98,86,30481,3592,87.76,11.78,14.28,0.8464433571697402,0.9551839464882943,90.08,90.08
2023-24,Rajasthan,Dungarpur,167,156,28148,3108,93.41,11.04,13.54,0.9173253042278259,0.905685618729097,91.15,91.15
2023-24,Rajasthan,Ganganagar,271,208,31199,6705,76.75,21.49,6.010000000000002,0.708317651486639,0.40200668896321085,55.52,55.52
2023-24,Rajasthan,Hanumangarh,273,233,26299,5356,85.35,20.37,7.129999999999999,0.816208756743194,0.4769230769230769,64.66,64.66
2023-24,Rajasthan,Jaipur,359,125,130392,45480,34.82,34.88,0.0,0.18228578597415632,0.0,9.11,9.11
2023-24,Rajasthan,Jaisalmer,134,129,16590,1019,96.27,6.14,8.64,0.9532053694643079,0.5779264214046823,76.56,76.56
2023-24,Rajasthan,Jalore,324,273,46694,5066,84.26,10.85,13.35,0.8025341864257935,0.8929765886287626,84.78,84.78
2023-24,Rajasthan,Jhalawar,64,48,32869,7593,75.0,23.1,4.399999999999999,0.6863630661146656,0.2943143812709029,49.03,49.03
2023-24,Rajasthan,Jhunjhunu,195,142,26653,4860,72.82,18.23,9.27,0.6590139254798644,0.620066889632107,63.95,63.95
2023-24,Rajasthan,Jodhpur,229,155,74122,17701,67.69,23.88,3.620000000000001,0.5946556266465938,0.24214046822742483,41.84,41.84
2023-24,Rajasthan,Karauli,74,60,26506,3103,81.08,11.71,14.21,0.7626395684355789,0.9505016722408027,85.66,85.66
2023-24,Rajasthan,Kota,119,60,38434,14889,50.42,38.74,0.0,0.3779952327186049,0.0,18.9,18.9
2023-24,Rajasthan,Nagaur,367,312,51650,9605,85.01,18.6,8.899999999999999,0.8119432944423535,0.5953177257525083,70.36,70.36
2023-24,Rajasthan,Pali,218,187,38086,7873,85.78,20.67,6.829999999999998,0.8216033120060219,0.45685618729096983,63.92,63.92
2023-24,Rajasthan,Pratapgarh,58,57,19375,554,98.28,2.86,5.359999999999999,0.978421778948689,0.3585284280936455,66.85,66.85
2023-24,Rajasthan,Rajsamand,151,140,22306,2203,92.72,9.88,12.38,0.9086689248525907,0.8280936454849499,86.84,86.84
2023-24,Rajasthan,Sawai Madhopur,61,43,31938,4215,70.49,13.2,14.3,0.6297829632417512,0.9565217391304349,79.32,79.32
2023-24,Rajasthan,Sikar,204,146,41936,12281,71.57,29.29,0.0,0.6433320787855976,0.0,32.17,32.17
2023-24,Rajasthan,Sirohi,80,66,24296,3229,82.5,13.29,14.21,0.7804541462802659,0.9505016722408027,86.55,86.55
2023-24,Rajasthan,Tonk,125,110,24877,3235,88.0,13.0,14.5,0.8494542717350395,0.9698996655518395,90.97,90.97
2023-24,Rajasthan,Udaipur,448,414,63924,10534,92.41,16.48,11.02,0.9047798268724124,0.737123745819398,82.1,82.1
2024-25,Rajasthan,Ajmer,134,103,33101,10992,76.87,33.21,0.0,0.7098231087692887,0.0,35.49,35.49
2024-25,Rajasthan,Alwar,178,135,39035,6702,75.84,17.17,10.329999999999998,0.6969012670932129,0.6909698996655518,69.39,69.39
2024-25,Rajasthan,Anupgarh,81,71,9344,150,87.65,1.61,4.109999999999999,0.845063354660645,0.27491638795986617,56.0,56.0
2024-25,Rajasthan,Balotra,150,139,24538,966,92.67,3.94,6.44,0.9080416509848198,0.4307692307692308,66.94,66.94
2024-25,Rajasthan,Banswara,130,118,46577,3504,90.77,7.52,10.02,0.8842052440095344,0.6702341137123746,77.72,77.72
2024-25,Rajasthan,Baran,50,41,21855,2746,82.0,12.56,14.94,0.7741814076025592,0.9993311036789297,88.68,88.68
2024-25,Rajasthan,Barmer,196,174,35860,4068,88.78,11.34,13.84,0.859239744072262,0.925752508361204,89.25,89.25
2024-25,Rajasthan,Beawar,119,105,22955,3866,88.24,16.84,10.66,0.8524651863003385,0.7130434782608696,78.28,78.28
2024-25,Rajasthan,Bharatpur,96,69,34115,8101,71.88,23.75,3.75,0.6472211767657758,0.2508361204013378,44.9,44.9
2024-25,Rajasthan,Bhilwara,117,97,35209,7264,82.91,20.63,6.870000000000001,0.7855977919959853,0.4595317725752509,62.26,62.26
2024-25,Rajasthan,Bikaner,272,237,50605,10140,87.13,20.04,7.460000000000001,0.8385397064358299,0.4989966555183947,66.88,66.88
2024-25,Rajasthan,Bundi,90,83,15841,2254,92.22,14.23,13.27,0.9023961861748839,0.8876254180602007,89.5,89.5
2024-25,Rajasthan,Chittorgarh,131,113,25517,3915,86.26,15.34,12.16,0.8276251411366201,0.8133779264214047,82.05,82.05
2024-25,Rajasthan,Churu,259,234,29197,4115,90.35,14.09,13.41,0.8789361435202608,0.896989966555184,88.8,88.8
2024-25,Rajasthan,DUDU,1,1,1,0,100.0,0.0,2.5,1.0,0.16722408026755853,58.36,58.36
2024-25,Rajasthan,Dausa,58,38,30795,3364,65.52,10.92,13.42,0.5674319407853468,0.8976588628762542,73.25,73.25
2024-25,Rajasthan,Deeg,84,84,15715,0,100.0,0.0,2.5,1.0,0.16722408026755853,58.36,58.36
2024-25,Rajasthan,Dholpur,85,73,28119,3442,85.88,12.24,14.74,0.8228578597415631,0.9859531772575252,90.44,90.44
2024-25,Rajasthan,Didwana-Kuchaman,168,137,26263,5792,81.55,22.05,5.449999999999999,0.7685359427926232,0.36454849498327757,56.65,56.65
2024-25,Rajasthan,Dudu,20,13,1820,361,65.0,19.84,7.66,0.5609082925605319,0.5123745819397993,53.66,53.66
2024-25,Rajasthan,Dungarpur,130,118,26721,3470,90.77,12.99,14.51,0.8842052440095344,0.9705685618729097,92.74,92.74
2024-25,Rajasthan,Ganganagar,179,122,21019,7497,68.16,35.67,0.0,0.6005520010036381,0.0,30.03,30.03
2024-25,Rajasthan,Gangapurcity,36,27,15892,2957,75.0,18.61,8.89,0.6863630661146656,0.5946488294314382,64.05,64.05
2024-25,Rajasthan,Hanumangarh,245,207,25473,6646,84.49,26.09,1.41,0.8054196462175384,0.09431438127090301,44.99,44.99
2024-25,Rajasthan,Jaipur,221,67,82364,34966,30.32,42.45,0.0,0.12583113787479613,0.0,6.29,6.29
2024-25,Rajasthan,Jaipur (Gramin),124,37,38739,12703,29.84,32.79,0.0,0.11980930874419772,0.0,5.99,5.99
2024-25,Rajasthan,Jaisalmer,141,137,16214,1076,97.16,6.64,9.14,0.964370844310626,0.611371237458194,78.79,78.79
2024-25,Rajasthan,Jalore,159,122,25296,2890,76.73,11.42,13.92,0.7080667419395308,0.931103678929766,81.96,81.96
2024-25,Rajasthan,Jhalawar,69,55,31223,7154,79.71,22.91,4.59,0.7454522644586625,0.30702341137123745,52.62,52.62
2024-25,Rajasthan,Jhunjhunu,189,138,23609,5521,73.02,23.39,4.109999999999999,0.6615230209509471,0.27491638795986617,46.82,46.82
2024-25,Rajasthan,Jodhpur,69,14,39530,17617,20.29,44.57,0.0,0.0,0.0,0.0,0.0
2024-25,Rajasthan,Jodhpur (Gramin),94,87,20808,572,92.55,2.75,5.25,0.9065361937021702,0.35117056856187295,62.89,62.89
2024-25,Rajasthan,Karauli,50,36,23212,2970,72.0,12.8,14.7,0.6487266340484255,0.9832775919732442,81.6,81.6
2024-25,Rajasthan,Kekri,85,85,7620,376,100.0,4.93,7.43,1.0,0.49698996655518396,74.85,74.85
2024-25,Rajasthan,Khairthal-Tijara,73,52,14758,1437,71.23,9.74,12.24,0.6390666164847573,0.8187290969899667,72.89,72.89
2024-25,Rajasthan,Kota,135,73,38444,16367,54.07,42.57,0.0,0.4237862250658637,0.0,21.19,21.19
2024-25,Rajasthan,Kotputli-Behror,68,47,19712,3504,69.12,17.78,9.72,0.6125956592648351,0.6501672240802676,63.14,63.14
2024-25,Rajasthan,Nagaur,168,141,26578,5396,83.93,20.3,7.199999999999999,0.7983941788985071,0.4816053511705685,64.0,64.0
2024-25,Rajasthan,Neem Ka Thana,66,59,8714,1449,89.39,16.63,10.87,0.8668924852590639,0.7270903010033445,79.7,79.7
2024-25,Rajasthan,Pali,179,149,32012,8010,83.24,25.02,2.4800000000000004,0.7897377995232717,0.1658862876254181,47.78,47.78
2024-25,Rajasthan,Phalodi,58,50,11643,261,86.21,2.24,4.74,0.8269978672688494,0.317056856187291,57.2,57.2
2024-25,Rajasthan,Pratapgarh,40,39,18474,622,97.5,3.37,5.870000000000001,0.9686363066114666,0.3926421404682275,68.06,68.06
2024-25,Rajasthan,Rajsamand,142,132,21222,2169,92.96,10.22,12.72,0.9116798394178895,0.8508361204013378,88.13,88.13
2024-25,Rajasthan,Salumbar,64,59,9200,20,92.19,0.22,2.7200000000000006,0.9020198218542216,0.18193979933110374,54.2,54.2
2024-25,Rajasthan,Sanchore,122,103,18617,2264,84.43,12.16,14.66,0.8046669175762139,0.9806020066889632,89.26,89.26
2024-25,Rajasthan,Sawai Madhopur,36,27,15892,1826,75.0,11.49,13.99,0.6863630661146656,0.9357859531772575,81.11,81.11
2024-25,Rajasthan,Shahpura,49,49,7555,2,100.0,0.03,2.53,1.0,0.1692307692307692,58.46,58.46
2024-25,Rajasthan,Sikar,144,88,32420,10622,61.11,32.76,0.0,0.5121063856479738,0.0,25.61,25.61
2024-25,Rajasthan,Sirohi,77,62,24358,3239,80.52,13.3,14.2,0.7556141011165474,0.9498327759197325,85.27,85.27
2024-25,Rajasthan,Tonk,90,75,23390,3332,83.33,14.25,13.25,0.790866892485259,0.8862876254180603,83.86,83.86
2024-25,Rajasthan,Udaipur,371,340,54197,11148,91.64,20.57,6.93,0.895119809308744,0.4635451505016722,67.93,67.93
