State,District,Facility_Name,Ownership,Total_Deliveries,C_Section_Deliveries,Financial_Year,C_Section_Rate_Pct,Is_Public_Facility
Rajasthan,Alwar,mohammadpur,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,nalota,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bhetera,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Gandala,Public,46,0,2020-21,0.0,1
Rajasthan,Alwar,Jaguwas,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Jakharana,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Kohrana,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Tasing,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Bardod,Public,916,0,2020-21,0.0,1
Rajasthan,Alwar,Behror,Public,1844,182,2020-21,9.87,1
Rajasthan,Alwar,Pvt Hospital,Private,1154,327,2020-21,28.34,0
Rajasthan,Alwar,Adoli,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Baharmpur,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bairka,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Bardokan,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Dantiya,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Daroda,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Doroli,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Dyothana,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Garu,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,isrota,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Jhahadu,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Khedameda,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Kherli Rail,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Khoh,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Mathurahera,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Nangal Rupa,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Natoj,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Nithari,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Noorpur,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Pasai,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Sahedi,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Sonkh,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Sonkhar,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Tigaria,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Titpuri,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Toda,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Baytukalan,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Kalwari,Public,21,0,2020-21,0.0,1
Rajasthan,Alwar,Khokar,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Ramnagar,Public,11,0,2020-21,0.0,1
Rajasthan,Alwar,Ronijathan,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Tasai,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Kathumar,Public,1601,0,2020-21,0.0,1
Rajasthan,Alwar,Kherli,Public,144,0,2020-21,0.0,1
Rajasthan,Alwar,Pvt Hospital,Private,613,0,2020-21,0.0,0
Rajasthan,Alwar,Bambora,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Bhazeda,Public,15,0,2020-21,0.0,1
Rajasthan,Alwar,Bolni,Public,16,0,2020-21,0.0,1
Rajasthan,Alwar,Chamroda,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Chanduki,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Chikani,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Devata,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Doangada,Public,20,0,2020-21,0.0,1
Rajasthan,Alwar,Ganj,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Jagta Basai,Public,118,0,2020-21,0.0,1
Rajasthan,Alwar,Jajaur,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Jharkhera,Public,25,0,2020-21,0.0,1
Rajasthan,Alwar,Jilota,Public,28,0,2020-21,0.0,1
Rajasthan,Alwar,Kankara,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Karoli,Public,50,0,2020-21,0.0,1
Rajasthan,Alwar,Kheda,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Khoabas,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Kithur,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Kolgawn,Public,17,0,2020-21,0.0,1
Rajasthan,Alwar,Langar Bas,Public,19,0,2020-21,0.0,1
Rajasthan,Alwar,Mothuka,Public,20,0,2020-21,0.0,1
Rajasthan,Alwar,Mundiyakheda,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Musakheda,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Noor Nagar,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Patan Mewan,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,Patti Joriya,Public,15,0,2020-21,0.0,1
Rajasthan,Alwar,Raybka,Public,30,0,2020-21,0.0,1
Rajasthan,Alwar,Shekhpur,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,Sirmoli,Public,42,0,2020-21,0.0,1
Rajasthan,Alwar,Sivana,Public,30,0,2020-21,0.0,1
Rajasthan,Alwar,Tarwala,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Zaatka,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Bagherikala,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Baghoda,Public,62,0,2020-21,0.0,1
Rajasthan,Alwar,Baskrapalnagar,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Ghasoli,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Ismilepur,Public,31,0,2020-21,0.0,1
Rajasthan,Alwar,Macha,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Bhadurpur,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Kherthal,Public,282,0,2020-21,0.0,1
Rajasthan,Alwar,Kishangarhbas,Public,2045,20,2020-21,0.98,1
Rajasthan,Alwar,Pvt Hospital,Private,70,0,2020-21,0.0,0
Rajasthan,Alwar,Bagherikhurd,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bhokar,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Girwas,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Haspur,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Jatiyana,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Makdava,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Patliya,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Teouwas,Public,30,0,2020-21,0.0,1
Rajasthan,Alwar,Baghana,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Bibirani,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Jatuwas,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Jodiya,Public,22,0,2020-21,0.0,1
Rajasthan,Alwar,Pur,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Harsoli,Public,156,0,2020-21,0.0,1
Rajasthan,Alwar,Kotkasim,Public,1080,0,2020-21,0.0,1
Rajasthan,Alwar,Baroli,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Beda,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Berla,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Bichgaun,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Bootoli,Public,29,0,2020-21,0.0,1
Rajasthan,Alwar,Butiyana,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Chimrawali Gaud,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Deewali,Public,25,0,2020-21,0.0,1
Rajasthan,Alwar,Dhara Ka Bas,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Dogdi,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Fahari,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Ghat,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Goteda,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Imlali,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Indpur,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Jawali,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Kafanwada,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Kheda Mangal Sing,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Kheda Mehamood,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Khedli Chandawat,Public,34,0,2020-21,0.0,1
Rajasthan,Alwar,Khohra,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Khudiyana,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Lily,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Malpur,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,Moliya,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Nibheda,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Niyana,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Nizam Nagar,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Rasulpur,Public,15,0,2020-21,0.0,1
Rajasthan,Alwar,Ratanaki,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Sadampur,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Sehra,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Semla,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Shahadka,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Sirmor,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Gandura,Public,25,0,2020-21,0.0,1
Rajasthan,Alwar,Harsana,Public,38,0,2020-21,0.0,1
Rajasthan,Alwar,Jhalatala,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Mojpur,Public,47,0,2020-21,0.0,1
Rajasthan,Alwar,Pahdawati,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Saimla Khurd,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Sorai,Public,24,0,2020-21,0.0,1
Rajasthan,Alwar,Barodamav,Public,452,0,2020-21,0.0,1
Rajasthan,Alwar,Govindgarh,Public,2793,0,2020-21,0.0,1
Rajasthan,Alwar,Laxmangarh,Public,172,0,2020-21,0.0,1
Rajasthan,Alwar,Achalpuri,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Ahir Ka Tibara,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Allapur,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Bader,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Baira,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Baldevpura,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Ballana,Public,15,0,2020-21,0.0,1
Rajasthan,Alwar,Barkheda,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Beejwad Naruka,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Bhadoli,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Bhakatpura,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bhandwada,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Bhugore,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bijopur,Public,19,0,2020-21,0.0,1
Rajasthan,Alwar,Bilandi,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Burja,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Chand Pahadi,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Chomu,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Dhakpuri,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Dhela Vas,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Dhwala,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Diwakri,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Doba,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Ghatla,Public,11,0,2020-21,0.0,1
Rajasthan,Alwar,Gopalpura,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Hajipur,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Indoke,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Jatiyana,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,Jatoli,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Kalikholi,Public,23,0,2020-21,0.0,1
Rajasthan,Alwar,Kalsada,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Kalyanpura,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Kaserpur,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Kervada,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Kerwaval,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Khareda,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Khedli Pichnaut,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Kushalpura,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Lalpura,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Lili,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Machadi,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Madhogarh,Public,18,0,2020-21,0.0,1
Rajasthan,Alwar,Mahua Khurd,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Mannaka,Public,16,0,2020-21,0.0,1
Rajasthan,Alwar,Mohabbatpur,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Nangla Sedu,Public,22,0,2020-21,0.0,1
Rajasthan,Alwar,Nethla,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Parsa Ka Bas,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Ramnagar,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Ringspuri,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Rongda,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Roopbas,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Rundh Seerawas,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Sahodi,Public,30,0,2020-21,0.0,1
Rajasthan,Alwar,Salpur,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Sanwar,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Sarangpur,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Seerawas,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Shahapur,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,Siya Ka Bas,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Thekda,Public,28,0,2020-21,0.0,1
Rajasthan,Alwar,Tuleda,Public,21,0,2020-21,0.0,1
Rajasthan,Alwar,Baleta,Public,18,0,2020-21,0.0,1
Rajasthan,Alwar,Chandoli,Public,164,0,2020-21,0.0,1
Rajasthan,Alwar,Deharashahpur,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Kushalgarh,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Padisel,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Palkhedi,Public,74,0,2020-21,0.0,1
Rajasthan,Alwar,PHC Umrain,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Prathvipura,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Akbarpur,Public,57,0,2020-21,0.0,1
Rajasthan,Alwar,Malakhera,Public,3261,0,2020-21,0.0,1
Rajasthan,Alwar,Beroj,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Dantala,Public,11,0,2020-21,0.0,1
Rajasthan,Alwar,Gadli,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Hatudi,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Khanpur Aher,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Khareta,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Matoiur,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Sabalgarh banethi,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Shamda,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Sheelgav,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Sourakha Kalan,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Ulaheri,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bijwad Chouhan,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Chandpur,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Jat Bahror,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Jindoli,Public,16,0,2020-21,0.0,1
Rajasthan,Alwar,Karanikot,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Mundanwada,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Palawa,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Pehal,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Rasagn,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Sihalikalan,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Mundawar,Public,727,0,2020-21,0.0,1
Rajasthan,Alwar,Tatarpur,Public,246,0,2020-21,0.0,1
Rajasthan,Alwar,Doshod,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Geeloth,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,GugalKota,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Hudiya Khurd,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Kankar,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Kolila,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Nairdha Khurd,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Pratapsingpura,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Sirlarpur,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Siryani,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Jaitpur,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Kutina,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Manjri Kala,Public,56,0,2020-21,0.0,1
Rajasthan,Alwar,Nangli Balaheer,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Mandhan,Public,159,0,2020-21,0.0,1
Rajasthan,Alwar,Neemrana,Public,117,0,2020-21,0.0,1
Rajasthan,Alwar,Shahjapur,Public,46,0,2020-21,0.0,1
Rajasthan,Alwar,Pvt Hospital,Private,2610,956,2020-21,36.63,0
Rajasthan,Alwar,Adpost Alaee,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bharu Gatti,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Bigota,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Birkadi,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Dubee,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Ghatada,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Gordanpura,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Kaniyawas,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Kutuki,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Naya Goa Bolka,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Neemla,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Palwa,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Rajorgarh,Public,38,0,2020-21,0.0,1
Rajasthan,Alwar,Tilwad,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Baldevgarh,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Dhamred,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Digawara,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Gola ka bas,Public,169,0,2020-21,0.0,1
Rajasthan,Alwar,Khodreb,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,Mallana,Public,14,0,2020-21,0.0,1
Rajasthan,Alwar,Rajpurbara,Public,26,0,2020-21,0.0,1
Rajasthan,Alwar,Talab,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Rajgarh,Public,2481,3,2020-21,0.12,1
Rajasthan,Alwar,Sakat,Public,15,0,2020-21,0.0,1
Rajasthan,Alwar,Tehla,Public,211,0,2020-21,0.0,1
Rajasthan,Alwar,Pvt Hospital,Private,366,86,2020-21,23.5,0
Rajasthan,Alwar,Bagad Rajpoot,Public,171,0,2020-21,0.0,1
Rajasthan,Alwar,Bagad Tiraya,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Baramada,Public,15,0,2020-21,0.0,1
Rajasthan,Alwar,Bhahala,Public,17,0,2020-21,0.0,1
Rajasthan,Alwar,Bhajit,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bhuaka,Public,11,0,2020-21,0.0,1
Rajasthan,Alwar,Bijawa,Public,63,0,2020-21,0.0,1
Rajasthan,Alwar,Bilaspur,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Bujaka,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Chidwa,Public,22,0,2020-21,0.0,1
Rajasthan,Alwar,ChorotiPahad,Public,73,0,2020-21,0.0,1
Rajasthan,Alwar,Chouma,Public,10,0,2020-21,0.0,1
Rajasthan,Alwar,Desula,Public,25,0,2020-21,0.0,1
Rajasthan,Alwar,Dhadoli,Public,11,0,2020-21,0.0,1
Rajasthan,Alwar,Dohali,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Doli,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Gadhi Dhaneta,Public,18,0,2020-21,0.0,1
Rajasthan,Alwar,Ghegoli,Public,50,0,2020-21,0.0,1
Rajasthan,Alwar,Gugdod,Public,7,0,2020-21,0.0,1
Rajasthan,Alwar,Gujuki,Public,15,0,2020-21,0.0,1
Rajasthan,Alwar,Hajipur,Public,30,0,2020-21,0.0,1
Rajasthan,Alwar,Jatpur,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Jhareda,Public,19,0,2020-21,0.0,1
Rajasthan,Alwar,Kakralijat,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Kakralimev,Public,27,0,2020-21,0.0,1
Rajasthan,Alwar,Kerwajat,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Kesroli,Public,17,0,2020-21,0.0,1
Rajasthan,Alwar,Khedi,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Kherli Syadh,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Khilora,Public,529,0,2020-21,0.0,1
Rajasthan,Alwar,Khouh,Public,14,0,2020-21,0.0,1
Rajasthan,Alwar,Khuteta Kalan,Public,16,0,2020-21,0.0,1
Rajasthan,Alwar,Kohida Karmali,Public,26,0,2020-21,0.0,1
Rajasthan,Alwar,Kota Khurd,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Kushpuri,Public,47,0,2020-21,0.0,1
Rajasthan,Alwar,Mandu ka Bas,Public,32,0,2020-21,0.0,1
Rajasthan,Alwar,Milakpur,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Mojdika,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Moonpur Kramla,Public,51,0,2020-21,0.0,1
Rajasthan,Alwar,Nangal Bajirka,Public,29,0,2020-21,0.0,1
Rajasthan,Alwar,Nangli Megha,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Nashopur,Public,16,0,2020-21,0.0,1
Rajasthan,Alwar,Niwali,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Pata,Public,37,0,2020-21,0.0,1
Rajasthan,Alwar,Patanbhan,Public,14,0,2020-21,0.0,1
Rajasthan,Alwar,Piproli,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Rasgan,Public,40,0,2020-21,0.0,1
Rajasthan,Alwar,Sahajpur,Public,8,0,2020-21,0.0,1
Rajasthan,Alwar,Sahdoli,Public,133,0,2020-21,0.0,1
Rajasthan,Alwar,Saithali,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Thikari,Public,26,0,2020-21,0.0,1
Rajasthan,Alwar,Alawada,Public,44,0,2020-21,0.0,1
Rajasthan,Alwar,Bagadmev,Public,469,0,2020-21,0.0,1
Rajasthan,Alwar,Bamboli,Public,68,0,2020-21,0.0,1
